Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,40098851.0,16070622.0,Linux,x86_64,CPython,3.5.2,2018-03-09 22:50:52.226972
Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz,34191487.0,20832463.0,Linux,x86_64,CPython,2.7.12,2018-03-12 14:49:16.276324
Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz,37099059.0,11279060.0,Windows,AMD64,CPython,3.6.4,2018-03-28 06:10:39.739008
Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz,47453856.0,25622050.0,Darwin,x86_64,CPython,2.7.10,2018-03-28 13:10:26.824188
"x86 Family 15 Model 6 Stepping 5, GenuineIntel",13855341.0,3360432.0,Windows,x86,CPython,2.7.14,2018-03-28 15:26:48.405926
Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz,41399465.0,25747406.0,Linux,x86_64,CPython,2.7.12,2018-04-06 19:08:53.453282
Intel(R) Pentium(R) Dual  CPU  E2160  @ 1.80GHz,18488567.0,7177474.0,Linux,x86_64,CPython,3.6.4,2018-04-09 09:12:07.533455
Intel(R) Core(TM) i5-7267U CPU @ 3.10GHz,47691810.0,28167461.0,Darwin,x86_64,CPython,2.7.10,2018-04-10 09:19:05.497305
Intel(R) Core(TM) i5-2540M CPU @ 2.60GHz,27516133.0,8509669.0,Linux,x86_64,CPython,3.5.4,2018-04-14 11:26:56.881799
Intel(R) Core(TM) i5-4310U CPU @ 2.00GHz,46855751.0,18013151.0,Linux,x86_64,CPython,3.5.2,2018-04-27 07:29:22.214422
Intel(R) Core(TM) i3-3240 CPU @ 3.40GHz,46171044.0,18390932.0,Linux,x86_64,CPython,3.5.2,2018-04-27 12:10:14.807078
Intel(R) Core(TM) i5-2450M CPU @ 2.50GHz,44264996.0,13832594.0,Linux,x86_64,CPython,3.6.3,2018-04-27 16:50:56.840531
"Intel64 Family 6 Model 42 Stepping 7, GenuineIntel",32655197.0,8116963.0,Windows,AMD64,CPython,2.7.13,2018-04-27 18:03:48.751252
Intel(R) Core(TM) i3-4010U CPU @ 1.70GHz,19327215.0,6093791.0,Windows,AMD64,CPython,3.6.4,2018-04-28 09:46:35.338058
Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,51145290.0,15911693.0,Windows,AMD64,CPython,3.6.5,2018-04-28 13:48:09.879697
Intel(R) Core(TM) i3-4010U CPU @ 1.70GHz,20264798.0,6064917.0,Windows,AMD64,CPython,3.6.4,2018-04-30 22:28:03.402082
Intel(R) Core(TM) i7-2820QM CPU @ 2.30GHz,37945140.0,22499699.0,Linux,x86_64,CPython,2.7.12,2018-05-08 20:38:59.348297
Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,33774005.0,15373813.0,Linux,x86_64,CPython,3.5.2,2018-05-17 09:31:08.997388
